judge,clip,n_gt_positives,n_pred,tp,fp,fn,precision,recall,f1,pass_by_labeled,pass_by_fired,n_candidates,static_camera,tiled,seconds,note
geometric,1THkHYIQ_bY_0,1,5,0,5,1,0.0,0.0,0.0,1,0,5,True,False,84.1,
geometric,HIu4lM4B8hA_1,3,7,1,6,2,0.1429,0.3333,0.2,0,0,7,True,False,36.7,
geometric,NmlzoaDcOuI_1,3,7,2,5,1,0.2857,0.6667,0.4,2,2,7,True,False,24.8,
geometric,NmlzoaDcOuI_6,1,6,1,5,0,0.1667,1.0,0.2857,2,2,6,True,False,21.9,
geometric,gt1125_06,2,14,2,12,0,0.1429,1.0,0.25,0,0,14,True,True,572.0,"recall stress (moving camera, oblique overhead)"
geometric,iMGR_0AG3a8_2_3,6,8,3,5,3,0.375,0.5,0.4286,1,0,8,True,False,38.5,
geometric,mKzCQKTHizw_0,1,4,1,3,0,0.25,1.0,0.4,1,1,4,False,False,65.4,precision stress (runners near parked cars)
geometric,mKzCQKTHizw_1,1,1,1,0,0,1.0,1.0,1.0,0,0,1,False,False,34.6,
geometric,POOLED,18,52,17,35,1,0.3269,0.9444,0.4857,7,6,,,,,all 8 clips
vlm,1THkHYIQ_bY_0,1,1,0,1,1,0.0,0.0,0.0,1,0,5,True,False,113.1,
vlm,HIu4lM4B8hA_1,3,3,1,2,2,0.3333,0.3333,0.3333,0,0,7,True,False,54.7,
vlm,NmlzoaDcOuI_1,3,2,1,1,2,0.5,0.3333,0.4,2,0,7,True,False,65.1,
vlm,NmlzoaDcOuI_6,1,0,0,0,1,0.0,0.0,0.0,2,0,6,True,False,49.8,
vlm,gt1125_06,2,6,2,4,0,0.3333,1.0,0.5,0,0,14,True,True,717.0,"recall stress (moving camera, oblique overhead)"
vlm,iMGR_0AG3a8_2_3,6,4,2,2,4,0.5,0.3333,0.4,1,0,8,True,False,61.5,
vlm,mKzCQKTHizw_0,1,1,1,0,0,1.0,1.0,1.0,1,0,4,False,False,78.7,precision stress (runners near parked cars)
vlm,mKzCQKTHizw_1,1,1,1,0,0,1.0,1.0,1.0,0,0,1,False,False,37.1,
vlm,POOLED,18,18,10,8,8,0.5556,0.5556,0.5556,7,0,,,,,all 8 clips
