judge,clip,n_gt_positives,n_pred,tp,fp,fn,precision,recall,f1,pass_by_labeled,pass_by_fired,n_candidates,static_camera,tiled,seconds,note
geometric,1THkHYIQ_bY_0,1,3,1,2,0,0.3333,1.0,0.5,1,0,3,True,False,,
geometric,HIu4lM4B8hA_1,3,6,1,5,2,0.1667,0.3333,0.2222,0,0,6,True,False,,
geometric,NmlzoaDcOuI_1,3,9,2,7,1,0.2222,0.6667,0.3333,2,2,9,True,False,,
geometric,NmlzoaDcOuI_6,1,7,1,6,0,0.1429,1.0,0.25,2,2,7,True,False,,
geometric,gt1125_06,2,26,2,24,0,0.0769,1.0,0.1429,0,0,26,True,True,,"recall stress (moving camera, oblique overhead)"
geometric,iMGR_0AG3a8_2_3,6,16,4,12,2,0.25,0.6667,0.3636,1,0,16,True,False,,
geometric,mKzCQKTHizw_0,1,4,1,3,0,0.25,1.0,0.4,1,1,4,False,False,,precision stress (runners near parked cars)
geometric,mKzCQKTHizw_1,1,2,1,1,0,0.5,1.0,0.6667,0,0,2,False,False,,
geometric,POOLED,18,73,13,60,5,0.1781,0.7222,0.2857,7,5,,,,,all 8 clips
vlm,1THkHYIQ_bY_0,1,1,1,0,0,1.0,1.0,1.0,1,0,3,True,False,,
vlm,HIu4lM4B8hA_1,3,2,1,1,2,0.5,0.3333,0.4,0,0,6,True,False,,
vlm,NmlzoaDcOuI_1,3,3,1,2,2,0.3333,0.3333,0.3333,2,0,9,True,False,,
vlm,NmlzoaDcOuI_6,1,2,1,1,0,0.5,1.0,0.6667,2,1,7,True,False,,
vlm,gt1125_06,2,13,2,11,0,0.1538,1.0,0.2667,0,0,26,True,True,,"recall stress (moving camera, oblique overhead)"
vlm,iMGR_0AG3a8_2_3,6,5,4,1,2,0.8,0.6667,0.7273,1,0,16,True,False,,
vlm,mKzCQKTHizw_0,1,2,1,1,0,0.5,1.0,0.6667,1,0,4,False,False,,precision stress (runners near parked cars)
vlm,mKzCQKTHizw_1,1,2,1,1,0,0.5,1.0,0.6667,0,0,2,False,False,,
vlm,POOLED,18,30,12,18,6,0.4,0.6667,0.5,7,1,,,,,all 8 clips
